PLAYER,SALARY
'Stephen Curry',"$34,682,550"
'LeBron James',"$33,285,709"
'Paul Millsap',"$30,769,231"
'Gordon Hayward',"$29,727,900"
'Blake Griffin',"$29,512,900"
'Kyle Lowry',"$28,903,704"
'Mike Conley',"$28,530,608"
'Russell Westbrook',"$28,299,399"
'James Harden',"$28,299,399"
'DeMar DeRozan',"$27,739,975"
'Al Horford',"$27,734,405"
'Carmelo Anthony',"$26,243,760"
'Damian Lillard',"$26,153,057"
'Jrue Holiday',"$25,686,667"
'Chris Bosh',"$25,289,390"
'Kevin Durant',"$25,000,000"
'Otto Porter Jr.',"$24,773,250"
'Chris Paul',"$24,268,959"
'CJ McCollum',"$23,962,573"
'Bradley Beal',"$23,775,506"
'Anthony Davis',"$23,775,506"
'Hassan Whiteside',"$23,775,506"
'Andre Drummond',"$23,775,506"
'Dwight Howard',"$23,500,000"
'Chandler Parsons',"$23,112,004"
'Harrison Barnes',"$23,112,004"
'JJ Redick',"$23,000,000"
'Marc Gasol',"$22,642,350"
'Brook Lopez',"$22,642,350"
'DeAndre Jordan',"$22,642,350"
'Kevin Love',"$22,642,350"
'Steven Adams',"$22,471,911"
'Giannis Antetokounmpo',"$22,471,911"
'Nicolas Batum',"$22,434,783"
'LaMarcus Aldridge',"$21,461,010"
'Greg Monroe',"$21,384,175"
'Rudy Gobert',"$21,224,719"
'Victor Oladipo',"$21,000,000"
'Danilo Gallinari',"$20,559,599"
'Serge Ibaka',"$20,061,729"
'George Hill',"$20,000,000"
'Ryan Anderson',"$19,578,455"
'Paul George',"$19,300,000"
'Jeff Teague',"$19,000,000"
'Kyrie Irving',"$18,868,626"
'Kawhi Leonard',"$18,868,625"
'Jimmy Butler',"$18,696,918"
'Allen Crabbe',"$18,500,000"
'John Wall',"$18,063,850"
'DeMarcus Cousins',"$18,063,850"
'Enes Kanter',"$17,884,176"
'Wesley Matthews',"$17,884,175"
'Dwyane Wade',"$17,878,652"
'Klay Thompson',"$17,826,150"
'Joakim Noah',"$17,765,000"
'Kentavious Caldwell-Pope',"$17,745,894"
'Luol Deng',"$17,190,000"
'Evan Turner',"$17,131,148"
'Goran Dragic',"$17,000,450"
'Evan Fournier',"$17,000,000"
'Bismack Biyombo',"$17,000,000"
'Kent Bazemore',"$16,910,112"
'Robert Covington',"$16,698,103"
'Tim Hardaway Jr',"$16,500,000"
'Draymond Green',"$16,400,000"
'Tristan Thompson',"$16,400,000"
'Ian Mahinmi',"$16,000,000"
'Pau Gasol',"$16,000,000"
'Tobias Harris',"$16,000,000"
'Reggie Jackson',"$16,000,000"
'Dennis Schroder',"$15,500,000"
'Jonas Valanciunas',"$15,460,675"
'Tony Parker',"$15,453,126"
'Timofey Mozgov',"$15,280,000"
'Jamal Crawford',"$15,270,762"
'Andre Iguodala',"$14,814,815"
'DeMarre Carroll',"$14,800,000"
'Eric Bledsoe',"$14,500,000"
'Gorgui Dieng',"$14,112,360"
'Ricky Rubio',"$14,100,000"
'Khris Middleton',"$14,100,000"
'Mason Plumlee',"$14,041,096"
'Taj Gibson',"$14,000,000"
'Robin Lopez',"$13,788,500"
'JR Smith',"$13,760,000"
'James Johnson',"$13,734,000"
'Joe Ingles',"$13,636,364"
'Brandon Knight',"$13,618,750"
'Marvin Williams',"$13,168,750"
'Tyson Chandler',"$13,000,000"
'Michael Kidd-Gilchrist',"$13,000,000"
'Eric Gordon',"$12,943,020"
'Thaddeus Young',"$12,921,348"
'Kenneth Faried',"$12,921,348"
'Marcin Gortat',"$12,782,609"
'Cody Zeller',"$12,584,270"
'Nikola Mirotic',"$12,500,000"
'Miles Plumlee',"$12,400,000"
'Zach Randolph',"$12,307,692"
'Nikola Vucevic',"$12,250,000"
'Solomon Hill',"$12,236,535"
'Dion Waiters',"$12,100,000"
'Wilson Chandler',"$12,016,854"
'Kelly Olynyk',"$12,007,169"
'Derrick Favors',"$12,000,000"
'Kemba Walker',"$12,000,000"
'Jeremy Lin',"$12,000,000"
'Austin Rivers',"$11,825,000"
'Courtney Lee',"$11,747,890"
'Nikola Pekovic',"$11,600,000"
'Jordan Clarkson',"$11,562,500"
'John Henson',"$11,422,536"
'Amir Johnson',"$11,000,000"
'Alec Burks',"$10,845,506"
'Patty Mills',"$10,714,286"
'Maurice Harkless',"$10,662,922"
'Omer Asik',"$10,595,505"
'Terrence Ross',"$10,500,000"
'Mirza Teletovic',"$10,500,000"
'Bojan Bogdanovic',"$10,500,000"
'Jon Leuer',"$10,497,319"
'Iman Shumpert',"$10,337,079"
'Joe Johnson',"$10,254,904"
'Danny Green',"$10,000,000"
'Jared Dudley',"$10,000,000"
'Darren Collison',"$10,000,000"
'Meyers Leonard',"$9,904,495"
